from,to,weight
Trulli,Zonta,5
Hill,Zonta,1
Herbert,Wurz,2
De La Rosa,Zanardi,1
Badoer,Zanardi,1
Panis,Wurz,4
Trulli,Wurz,3
Fisichella,Herbert,1
Hakkinen,R.Schumacher,3
Diniz,Wurz,2
Trulli,Panis,2
Wurz,Panis,1
Herbert,Zonta,2
R.Schumacher,Zanardi,1
Salo,Zanardi,1
R.Schumacher,Coulthard,5
Irvine,Gene,2
Trulli,Irvine,2
Trulli,Barrichello,9
Zonta,Hakkinen,1
Badoer,Villeneuve,1
Diniz,Panis,1
Diniz,Gene,2
De La Rosa,Fisichella,3
Alesi,Mazzacane,4
De La Rosa,Irvine,6
Wurz,Button,3
Alesi,Heidfeld,7
Salo,Zonta,4
Zonta,Salo,2
Alesi,Button,4
De La Rosa,Heidfeld,3
Trulli,Frentzen,4
Verstappen,Zonta,2
Button,Villeneuve,3
Verstappen,Fisichella,6
De La Rosa,Herbert,1
De La Rosa,Button,4
Zonta,Mazzacane,5
Button,Verstappen,2
De La Rosa,Diniz,2
Wurz,Diniz,2
Button,Frentzen,6
Trulli,Heidfeld,8
Barrichello,R.Schumacher,10
Barrichello,M.Schumacher,2
Trulli,Herbert,1
De La Rosa,Verstappen,1
Gene,Salo,1
Fisichella,R.Schumacher,3
De La Rosa,R.Schumacher,1
Fisichella,Villeneuve,6
Button,Wurz,3
R.Schumacher,Irvine,2
M.Schumacher,Button,3
Coulthard,Button,9
Hakkinen,Button,2
Fisichella,Button,12
Diniz,Mazzacane,4
Button,Zonta,3
Wurz,Alesi,2
Diniz,Zonta,2
Verstappen,Heidfeld,3
De La Rosa,Frentzen,1
De La Rosa,Salo,3
Verstappen,R.Schumacher,4
Verstappen,Wurz,4
Fisichella,Heidfeld,13
Button,Irvine,2
Heidfeld,Fisichella,8
Button,Salo,4
Fisichella,Mazzacane,1
Irvine,Mazzacane,2
Irvine,Heidfeld,3
Barrichello,Button,14
Frentzen,Button,3
Heidfeld,Mazzacane,2
Villeneuve,Mazzacane,3
Burti,Mazzacane,2
R.Schumacher,Mazzacane,3
Zonta,Burti,1
Diniz,Burti,1
Verstappen,Mazzacane,2
Heidfeld,Wurz,1
Villeneuve,Wurz,2
Diniz,Alesi,1
Zonta,Alesi,1
Frentzen,Salo,2
Frentzen,Heidfeld,7
Frentzen,Zonta,1
R.Schumacher,Zonta,1
Diniz,Heidfeld,2
Salo,Heidfeld,1
Heidfeld,Verstappen,3
R.Schumacher,Heidfeld,10
Button,Mazzacane,3
De La Rosa,Trulli,4
Salo,De La Rosa,4
Salo,Button,4
Button,De La Rosa,8
Irvine,Button,5
Herbert,Fisichella,1
Villeneuve,Fisichella,6
Villeneuve,Zonta,1
Trulli,Button,13
Gene,Diniz,1
Mazzacane,Diniz,1
Button,Trulli,14
R.Schumacher,Button,9
Wurz,Mazzacane,2
Wurz,Gene,1
